Iteration,RangeWidth,BuildIndex(ns),GenToken(ns),SearchTokens(ns),LocalSearch(ns)
1,76752,3355938700,993100,0,0
2,72209,3880460200,994200,0,0
3,204224,3738412900,496800,0,25329800
4,1175,3816948800,0,0,496700
5,236910,3576004700,496100,0,30794300
6,273215,3541239000,494200,0,27316100
7,24054,3535775100,495200,0,26818900
8,9343,3686760600,993500,0,0
9,6071,3966880600,495900,0,0
10,108165,3730963100,496700,0,0
