Iteration,RangeWidth,BuildIndex(ns),GenToken(ns),SearchTokens(ns),LocalSearch(ns)
1,2034,1851407500,497100,0,0
2,171549,1951405000,496700,0,73506300
3,57077,1917676400,496600,0,0
4,88513,1774095100,497600,0,74996100
5,359384,1805921200,0,0,78473500
6,139039,1792968400,0,0,70526700
7,97961,1811842600,496100,0,0
8,29120,1784028100,496800,0,70029700
9,43520,1813356800,496900,0,496200
10,64099,1772108600,0,0,496200
