Iteration,RangeWidth,BuildIndex(ns),GenToken(ns),SearchTokens(ns),LocalSearch(ns)
1,24284,5173134600,495600,0,0
2,13564,5313346900,494900,0,0
3,134000,5178251000,496400,0,0
4,110703,4543515600,492900,0,0
5,218765,4613583200,493900,0,0
6,429969,4470504200,494900,0,50163300
7,161326,4845482200,496800,0,0
8,173941,4101478000,496300,0,0
9,849486,4069195100,495800,0,43209000
10,807738,4372657700,0,0,43209800
