Iteration,RangeWidth,BuildIndex(ns),GenToken(ns),SearchTokens(ns),LocalSearch(ns)
1,112987,7634949200,992700,0,63573200
2,88349,17571216600,496500,0,1490000
3,30362,16538766000,1489800,0,0
4,46886,7759019400,992800,0,496400
5,11839,7147040800,993300,0,496100
6,124900,12082392800,3476700,0,95857000
7,84458,9049320900,1489600,0,0
8,206308,7469502000,496600,0,108770100
9,208709,8132951000,993000,0,69059100
10,5954,5908476700,496500,0,496500
