Iteration,RangeWidth,BuildIndex(ns),GenToken(ns),SearchTokens(ns),LocalSearch(ns)
1,83393,1152765300,0,0,0
2,200563,1073296900,496600,0,2483500
3,6421,1053430900,0,0,0
4,268173,1087701000,496700,0,2980000
5,184960,1224781100,0,0,2980100
6,148396,1081337900,0,0,3476500
7,550573,1078264800,0,0,2980600
8,91562,1116009900,496600,0,2483600
9,31434,1103097900,496400,0,0
10,34215,1115018100,0,0,0
