Iteration,RangeWidth,BuildIndex(ns),GenToken(ns),SearchTokens(ns),LocalSearch(ns)
1,63364,3963349400,496400,0,496500
2,564212,4325970900,496800,0,44699600
3,148214,3775167000,993200,0,51156900
4,223801,3579554100,496100,0,41223500
5,9036,3641248500,496600,0,495700
6,527659,3674904100,496900,0,42713500
7,90315,3595869900,496700,0,41223100
8,38547,3634113700,497300,0,0
9,7848,3741938400,496200,0,0
10,217785,3595902700,0,0,41223400
