Iteration,RangeWidth,BuildIndex(ns),GenToken(ns),SearchTokens(ns),LocalSearch(ns)
1,421524,2707225900,0,0,25330100
2,3884,2558828600,0,0,0
3,24803,2495752800,993400,0,496700
4,178168,2980995500,496800,0,0
5,204403,2960664800,0,0,0
6,250275,2424297600,496800,0,496700
7,69466,2429729900,496900,0,0
8,177938,2510652100,0,0,24337600
9,175952,2456515800,0,0,0
10,172043,2438138900,0,0,27316700
