Iteration,RangeWidth,BuildIndex(ns),GenToken(ns),SearchTokens(ns),LocalSearch(ns)
1,28170,1697112200,497200,0,0
2,221512,1783531200,496400,0,0
3,285590,1683702300,496300,0,10430500
4,220077,1678735100,496100,0,14900500
5,228950,1715488200,496100,0,10430200
6,48802,1662386700,0,0,0
7,232885,1653438600,496700,0,11423500
8,177028,1664331800,0,0,11423800
9,42774,1709060200,496000,0,0
10,230381,1740818800,496500,0,15892900
