Iteration,RangeWidth,BuildIndex(ns),GenToken(ns),SearchTokens(ns),LocalSearch(ns)
1,37318,2822586900,495600,0,0
2,63124,3002009200,496700,0,0
3,26683,2812626300,0,0,496800
4,70601,2796236000,496700,0,0
5,51825,2748555900,496500,0,0
6,73158,2747112800,496300,0,0
7,98979,2747562500,496400,0,497200
8,60883,2714782500,496200,0,496400
9,8725,2733656400,496800,0,0
10,146041,2742099900,495900,0,0
