Iteration,RangeWidth,BuildIndex(ns),GenToken(ns),SearchTokens(ns),LocalSearch(ns)
1,6404,879414800,0,0,0
2,90250,834898200,496300,0,0
3,10905,775793900,496400,0,0
4,34735,771324400,0,0,0
5,84153,786224800,0,0,496000
6,86013,792183200,0,0,498500
7,88352,780760000,0,0,10926100
8,103796,761887500,0,0,0
9,89488,764370700,0,0,0
10,32529,783244600,495700,0,0
