Iteration,BuildIndex(ns),GenToken(ns),SearchTokens(ns),LocalSearch(ns)
1,1189844600,0,0,498400
2,1114022600,0,0,22846700
3,1080251500,0,0,22349800
4,1109554300,496500,0,0
5,1131904400,497100,0,0
6,1119487400,0,0,496900
7,1114024100,0,0,22846900
8,1119984400,0,0,497000
9,1091673800,496700,0,0
10,1112534500,0,0,0
