Iteration,BuildIndex(ns),GenToken(ns),SearchTokens(ns),LocalSearch(ns)
1,1416727900,496700,0,0
2,1415005000,0,0,0
3,1392654300,496700,0,0
4,1421957700,0,0,496700
5,1403581500,497000,0,0
6,1385204900,496400,0,0
7,1439837500,496600,0,0
8,1433382000,496800,0,0
9,1449307100,0,0,0
10,1398614900,496800,0,0
