Iteration,BuildIndex(ns),GenToken(ns),SearchTokens(ns),LocalSearch(ns)
1,1114520700,0,0,22350100
2,1090184300,0,0,496700
3,1094157700,497400,0,21853200
4,1086210600,497100,0,24336700
5,1080250500,0,0,24833800
6,1080250800,496400,0,23840600
7,1085216300,496500,0,24338500
8,1082929400,496600,0,23343600
9,1097137000,0,0,22846600
10,1094158000,496800,0,21356400
