Iteration,BuildIndex(ns),GenToken(ns),SearchTokens(ns),LocalSearch(ns)
1,1178348200,497000,0,0
2,1166670600,496600,0,0
3,1087204700,0,0,496900
4,1102600800,0,0,0
5,1093661600,0,0,496700
6,1150280700,0,0,496900
7,1130414000,496400,0,0
8,1137864500,496600,0,0
9,1156737900,0,0,0
10,1138360900,496700,0,0
