Iteration,BuildIndex(ns),GenToken(ns),SearchTokens(ns),LocalSearch(ns)
1,1800269400,496200,0,0
2,1837171700,993300,0,496500
3,1812338300,497400,0,0
4,1860515000,496700,0,0
5,1840648600,0,0,496600
6,1830218400,496700,0,496600
7,1832701700,0,0,0
8,1853601800,0,0,0
9,1843718600,0,0,497100
10,1772605100,496600,0,0
