Iteration,BuildIndex(ns),GenToken(ns),SearchTokens(ns),LocalSearch(ns)
1,1857402000,0,0,496800
2,1895281100,0,0,496600
3,1783035400,0,0,0
4,1775088400,0,0,0
5,1779061700,496700,0,0
6,1780551800,0,0,496600
7,1823761700,0,0,497100
8,1758764300,496500,0,0
9,1772146200,496400,0,0
10,1816311400,496900,0,0
