Iteration,BuildIndex(ns),GenToken(ns),SearchTokens(ns),LocalSearch(ns)
1,426140800,0,0,2979800
2,432597900,0,0,3476200
3,409750100,496800,0,2980000
4,405776800,0,0,2980300
5,407764300,0,0,2979400
6,406770600,0,0,2980200
7,408260200,0,0,4966800
8,405776600,0,0,2980100
9,402997200,0,0,2980400
10,409253200,496900,0,2483800
