Iteration,BuildIndex(ns),GenToken(ns),SearchTokens(ns),LocalSearch(ns)
1,1436858200,0,0,40231000
2,1435367000,496800,0,0
3,1434375200,496600,0,0
4,1446791500,0,0,0
5,1433380900,0,0,496700
6,1478013900,496000,0,0
7,1426428200,0,0,0
8,1519304200,0,0,496500
9,1405071700,496900,0,0
10,1391661100,496800,0,46190500
