Iteration,RangeWidth,BuildIndex(ns),GenToken(ns),SearchTokens(ns),LocalSearch(ns)
1,419832,1155248300,0,0,59103000
2,17847,1155248300,0,0,109763600
3,378129,1155248300,0,0,58109800
4,424173,1155248300,0,0,71520100
5,138731,1155248300,0,0,62579900
6,91165,1155248300,0,0,0
7,199187,1155248300,496900,0,72513300
8,169108,1155248300,0,0,496600
9,57145,1155248300,0,0,0
10,44259,1155248300,0,0,0
