Iteration,RangeWidth,BuildIndex(ns),GenToken(ns),SearchTokens(ns),LocalSearch(ns)
1,384228,497660400,0,0,0
2,437909,497660400,0,0,496800
3,221803,497660400,0,0,0
4,356935,497660400,0,0,0
5,293495,497660400,496500,0,0
6,236374,497660400,0,0,0
7,3724,497660400,0,0,0
8,39,497660400,0,0,496600
9,15370,497660400,0,0,0
10,304646,497660400,0,0,496900
