Iteration,RangeWidth,BuildIndex(ns),GenToken(ns),SearchTokens(ns),LocalSearch(ns)
1,392544,300483700,0,0,0
2,41729,300483700,0,0,8940100
3,67254,300483700,0,0,0
4,66274,300483700,0,0,0
5,78006,300483700,496600,0,0
6,405415,300483700,46700,0,0
7,117711,300483700,0,0,5416700
8,98133,300483700,0,0,0
9,112737,300483700,0,0,0
10,375032,300483700,496700,0,0
