Iteration,RangeWidth,BuildIndex(ns),GenToken(ns),SearchTokens(ns),LocalSearch(ns)
1,215517,897974300,0,0,0
2,23072,897974300,0,0,525900
3,61646,897974300,0,0,0
4,481010,897974300,0,0,66026800
5,179908,897974300,0,0,0
6,495857,897974300,0,0,78970100
7,85393,897974300,497000,0,0
8,25057,897974300,0,0,111600
9,107296,897974300,0,0,37634900
10,218321,897974300,496800,0,0
