Iteration,RangeWidth,BuildIndex(ns),GenToken(ns),SearchTokens(ns),LocalSearch(ns)
1,2966,730598100,0,0,0
2,335734,730598100,0,0,21815300
3,210028,730598100,0,0,49170400
4,107367,730598100,0,0,55129600
5,291260,730598100,497100,0,0
6,522466,730598100,0,0,22350400
7,249489,730598100,0,0,0
8,291744,730598100,0,0,496400
9,331908,730598100,0,0,0
10,43791,730598100,0,0,0
